id,festival_id,home_school_id,away_school_id,sport,match_date,venue,status,home_score,away_score,created_at,updated_at,season,year
1ad119b6-6c46-445e-a08f-c95866a7a524,,79f8c589-1cd2-4ca6-bfa2-2c163d9e5075,65d352ee-4c8b-4552-8f51-6a76bb727ba5,Rugby,2026-08-01 15:00:00+00,Paul Roos,holding,,,2025-10-02 19:30:19.680339+00,2025-10-02 19:30:19.680339+00,2026,2026
1b118eab-6fb5-42a3-9301-c027a547e46e,,eb146e45-f9fa-46ba-be95-6ab6d7fd3aa0,f69f787a-97e0-407d-9ace-da93ea3fd252,Rugby,2026-06-06 15:00:00+00,Away,holding,,,2025-10-03 19:07:23.729985+00,2025-10-03 19:07:23.729985+00,2026,2026
1b6132b2-5020-44fc-a77a-31cf868132c3,,d9adb2b2-3d7f-4b83-bbad-fa90a5bb301d,55162589-7fd6-4fbd-8e6f-ddd6b76edf34,Rugby,2026-05-09 15:00:00+00,Home,holding,,,2025-10-03 19:30:42.322146+00,2025-10-03 19:30:42.322146+00,2026,2026
1c394402-ce05-4065-b96b-a8e54bb2e1b4,,fe4e237c-43b4-4228-aa2a-1857322743cd,54344aa7-eddb-40f9-a37d-104fa6be357f,Rugby,2026-05-23 15:00:00+00,Away,holding,,,2025-10-03 19:24:02.06559+00,2025-10-03 19:24:02.06559+00,2026,2026
1d20e174-7ca2-4e84-aaee-94ca677ebab9,,a3724b1b-9ddd-421c-b7ce-12a2c2c6831f,c49c3ee5-254e-4542-8a08-b85760239ece,Rugby,2026-04-25 15:00:00+00,ABSA Wildeklawer,holding,,,2025-10-03 18:36:41.971342+00,2025-10-03 18:36:41.971342+00,2026,2026
1ea33c7b-6d8e-453b-b086-f6436f9b0696,,eb146e45-f9fa-46ba-be95-6ab6d7fd3aa0,53858f60-b64d-411f-a32d-8f8aa83138d3,Rugby,2026-04-18 15:00:00+00,Away,holding,,,2025-10-03 19:07:23.44265+00,2025-10-03 19:07:23.44265+00,2026,2026
1fc71f29-97d3-429d-892e-0ac8698dd153,,c7338f67-0966-4861-91f7-ca2f02554e89,760cbea9-8a2c-4010-adcf-9623904a344b,Rugby,2026-08-08 15:00:00+00,Away,holding,,,2025-10-03 19:29:09.43158+00,2025-10-03 19:29:09.43158+00,2026,2026
20044fc4-5d66-468b-b853-3cac0dc47b2d,,674ccfbe-9063-40d3-a6e7-884be0ab561d,b24638b3-7ec4-44df-ae0f-e5c700adffed,Rugby,2026-04-25 15:00:00+00,Brackenfell,holding,,,2025-10-03 19:00:24.355172+00,2025-10-03 19:00:24.355172+00,2026,2026
200e2c03-123f-430a-a5cc-4a3dc652c728,,1ec5e7bc-8d20-4f56-808d-6eef53ad2452,8d06425f-24ad-4726-a47c-850b155bc51a,Rugby,2026-04-25 15:00:00+00,ABSA Wildeklawer,holding,,,2025-10-03 18:49:37.323786+00,2025-10-03 18:49:37.323786+00,2026,2026
201cbb3f-a296-4f85-8214-4449c99c4db8,,4300e9ae-c522-42ce-a0de-de6c63a9e6f3,,Rugby,2026-04-27 15:00:00+00,Grey Rugby Festival,holding,,,2025-10-02 19:05:02.264226+00,2025-10-02 19:05:02.264226+00,2026,2026
206e6823-4d41-4668-a70f-7d357942df0b,,d97bb430-fb82-4b85-8b0d-59d0f65dfc40,54344aa7-eddb-40f9-a37d-104fa6be357f,Rugby,2026-03-21 15:00:00+00,Away,holding,,,2025-10-03 19:17:30.481262+00,2025-10-03 19:17:30.481262+00,2026,2026
212f1bbb-8404-4563-9331-e5d125593518,,4011e32e-9789-4e9d-8055-529cfc637e4a,760cbea9-8a2c-4010-adcf-9623904a344b,Rugby,2026-04-27 15:00:00+00,ABSA Wildeklawer,holding,,,2025-10-03 18:41:46.630869+00,2025-10-03 18:41:46.630869+00,2026,2026
2165dfdb-a28c-4c82-88c1-199f5f5ff434,,d9adb2b2-3d7f-4b83-bbad-fa90a5bb301d,9fec13be-079f-463b-b91d-ce2426dd2123,Rugby,2026-06-13 15:00:00+00,Away,holding,,,2025-10-03 19:30:42.555682+00,2025-10-03 19:30:42.555682+00,2026,2026
2222496d-dbed-49dd-aaed-481778214390,,cd0f5b91-783a-42ed-bff8-36b77d857e1d,0d264e25-a997-4cc9-b37a-ba14cde93037,Rugby,2026-05-23 15:00:00+00,Away,holding,,,2025-10-03 19:32:29.847281+00,2025-10-03 19:32:29.847281+00,2026,2026
2312c743-74df-42e3-91b6-d9f8de21ac7c,,53858f60-b64d-411f-a32d-8f8aa83138d3,674ccfbe-9063-40d3-a6e7-884be0ab561d,Rugby,2026-05-23 15:00:00+00,Home,holding,,,2025-10-03 19:09:14.617746+00,2025-10-03 19:09:14.617746+00,2026,2026
2401a78e-39c3-48bb-81d6-5ef7cc8b951f,,d97bb430-fb82-4b85-8b0d-59d0f65dfc40,760cbea9-8a2c-4010-adcf-9623904a344b,Rugby,2026-05-16 15:00:00+00,Home,holding,,,2025-10-03 19:17:30.705572+00,2025-10-03 19:17:30.705572+00,2026,2026
25dbed29-69f7-462e-b2e2-b77aa2009244,,a3724b1b-9ddd-421c-b7ce-12a2c2c6831f,4011e32e-9789-4e9d-8055-529cfc637e4a,Rugby,2026-05-30 15:00:00+00,Away,holding,,,2025-10-03 18:36:42.172906+00,2025-10-03 18:36:42.172906+00,2026,2026
26697ab1-98d1-4412-b333-dcd4a3c8a547,,f69f787a-97e0-407d-9ace-da93ea3fd252,f1b4c9d1-5c54-4f6a-88fd-28626a82fc29,Rugby,2026-04-18 15:00:00+00,Away,holding,,,2025-10-03 18:10:27.528379+00,2025-10-03 18:10:27.528379+00,2026,2026
26f15388-c251-431d-8971-cc0a1fae5332,,79f8c589-1cd2-4ca6-bfa2-2c163d9e5075,7ef26737-6f4c-440d-87e2-b0205d8d06ba,Rugby,2026-05-23 15:00:00+00,Paul Roos,holding,,,2025-10-02 19:30:19.456224+00,2025-10-02 19:30:19.456224+00,2026,2026
2777a397-91e3-4659-a5de-e543ae164170,,f1b4c9d1-5c54-4f6a-88fd-28626a82fc29,915f9c3c-99ac-4b70-bd13-99d382516ecd,Rugby,2026-08-22 15:00:00+00,SACS,holding,,,2025-10-03 18:47:36.815021+00,2025-10-03 18:47:36.815021+00,2026,2026
27c894fa-3539-4e0b-9d01-c88e37f901a8,,d9adb2b2-3d7f-4b83-bbad-fa90a5bb301d,c7338f67-0966-4861-91f7-ca2f02554e89,Rugby,2026-04-25 15:00:00+00,Home,holding,,,2025-10-03 19:30:42.273663+00,2025-10-03 19:30:42.273663+00,2026,2026
27e84c69-ed7d-4e0b-9640-4557256f09a5,,a3724b1b-9ddd-421c-b7ce-12a2c2c6831f,d3488346-c50a-4103-852f-cacf896b3c2d,Rugby,2026-04-18 15:00:00+00,Oakdale,holding,,,2025-10-03 18:36:41.872363+00,2025-10-03 18:36:41.872363+00,2026,2026
27fa0ead-5d5a-4eb3-8e10-cace089a9e3d,,7602ee11-298f-4a70-9fab-30eaf43e5e5f,fe4e237c-43b4-4228-aa2a-1857322743cd,Rugby,2026-04-18 15:00:00+00,Away,holding,,,2025-10-03 19:27:39.202484+00,2025-10-03 19:27:39.202484+00,2026,2026
283402aa-2fe7-4f45-8951-05e09c071eae,,7602ee11-298f-4a70-9fab-30eaf43e5e5f,d9adb2b2-3d7f-4b83-bbad-fa90a5bb301d,Rugby,2026-06-06 15:00:00+00,Away,holding,,,2025-10-03 19:27:39.628364+00,2025-10-03 19:27:39.628364+00,2026,2026
294f0620-decc-4130-91fd-e1f0508a031f,,f69f787a-97e0-407d-9ace-da93ea3fd252,915f9c3c-99ac-4b70-bd13-99d382516ecd,Rugby,2026-05-09 15:00:00+00,Bishops,holding,,,2025-10-03 18:10:27.721003+00,2025-10-03 18:10:27.721003+00,2026,2026
2b371fc7-73ec-4ca2-9fcc-23fdc47b80d2,,10ecfb60-497c-4658-8f8c-fdcdc6cfbbff,cd0f5b91-783a-42ed-bff8-36b77d857e1d,Rugby,2026-03-21 15:00:00+00,Away,holding,,,2025-10-03 19:35:59.732462+00,2025-10-03 19:35:59.732462+00,2026,2026
2b64f678-6cee-4c05-a325-89495e687b87,,4300e9ae-c522-42ce-a0de-de6c63a9e6f3,e1fcf092-6694-46cc-8ca5-72f5ae35d39b,Rugby,2026-03-07 15:00:00+00,Michaelhouse,holding,,,2025-10-02 19:05:01.772005+00,2025-10-02 19:05:01.772005+00,2026,2026
2b838619-8e87-4ffe-83cc-6b0232a05cb1,,55162589-7fd6-4fbd-8e6f-ddd6b76edf34,e26a0da6-5f5c-4213-8d7a-61a88e50a5e8,Rugby,2026-06-24 15:00:00+00,Away,holding,,,2025-10-03 19:37:45.048572+00,2025-10-03 19:37:45.048572+00,2026,2026
2cd8ded1-1501-42ef-ab98-8552d720c0dc,,8588d541-2543-47a5-b78d-d80b9a6dcd5e,674ccfbe-9063-40d3-a6e7-884be0ab561d,Rugby,2026-08-01 15:00:00+00,DF Malan,holding,,,2025-10-03 19:01:40.976989+00,2025-10-03 19:01:40.976989+00,2026,2026
2d4305c5-0691-4e24-add1-38d3187dfeb7,,ca695744-cbf8-4fc2-8dd3-86e71bb545b1,65d352ee-4c8b-4552-8f51-6a76bb727ba5,Rugby,2026-06-06 15:00:00+00,Away,holding,,,2025-10-03 18:40:02.93911+00,2025-10-03 18:40:02.93911+00,2026,2026
2dd6c3e1-778f-4649-b5ec-aa4136509c22,,65d352ee-4c8b-4552-8f51-6a76bb727ba5,f1b4c9d1-5c54-4f6a-88fd-28626a82fc29,Rugby,2026-05-16 15:00:00+00,Boland Landbou,holding,,,2025-10-03 18:29:08.371192+00,2025-10-03 18:29:08.371192+00,2026,2026
2e010f96-ac49-4e36-8aaa-e5772b19618b,,7602ee11-298f-4a70-9fab-30eaf43e5e5f,11e2b40c-5751-4fcf-bd11-3b26e3d945cd,Rugby,2026-04-27 15:00:00+00,ABSA Wildeklawer,holding,,,2025-10-03 19:27:39.298983+00,2025-10-03 19:27:39.298983+00,2026,2026
2e8e6c7e-953c-40aa-a732-000ab0a08dc0,,4300e9ae-c522-42ce-a0de-de6c63a9e6f3,8d06425f-24ad-4726-a47c-850b155bc51a,Rugby,2026-06-13 15:00:00+00,Away,holding,,,2025-10-02 19:05:02.918372+00,2025-10-02 19:05:02.918372+00,2026,2026
2eeb288d-9dca-4b4b-8222-f611b6d71cbe,,cd0f5b91-783a-42ed-bff8-36b77d857e1d,58ad86e0-fcd0-4dbc-b234-2914c6f78712,Rugby,2026-03-27 15:00:00+00,Home,holding,,,2025-10-03 19:32:29.489414+00,2025-10-03 19:32:29.489414+00,2026,2026
30498f80-ce29-459c-a96c-288d5079181e,,d97bb430-fb82-4b85-8b0d-59d0f65dfc40,a3a8c3e3-a5c7-4618-99cb-fb4892d23b5d,Rugby,2026-06-13 15:00:00+00,Away,holding,,,2025-10-03 19:17:30.824582+00,2025-10-03 19:17:30.824582+00,2026,2026
30e41f47-cbd5-40c1-923a-394eaaef6a81,,10ecfb60-497c-4658-8f8c-fdcdc6cfbbff,c7338f67-0966-4861-91f7-ca2f02554e89,Rugby,2026-05-30 15:00:00+00,Home,holding,,,2025-10-03 19:36:00.088542+00,2025-10-03 19:36:00.088542+00,2026,2026
3138b22a-0647-4aef-99a6-3e3d0fbbcc13,,4300e9ae-c522-42ce-a0de-de6c63a9e6f3,a3a8c3e3-a5c7-4618-99cb-fb4892d23b5d,Rugby,2026-05-02 15:00:00+00,Michaelhouse,holding,,,2025-10-02 19:05:02.388128+00,2025-10-02 19:05:02.388128+00,2026,2026
315f5eab-64e8-49f6-a240-7b788bb37bdb,,8d06425f-24ad-4726-a47c-850b155bc51a,165588a7-22ce-4fcf-84dd-71f3eb318b00,Rugby,2026-04-27 15:00:00+00,ABSA Wildeklawer,holding,,,2025-10-03 19:19:07.223525+00,2025-10-03 19:19:07.223525+00,2026,2026
31b1539b-c72d-43a7-b6e0-6307631246d7,,55162589-7fd6-4fbd-8e6f-ddd6b76edf34,d9adb2b2-3d7f-4b83-bbad-fa90a5bb301d,Rugby,2026-05-09 15:00:00+00,Away,holding,,,2025-10-03 19:37:44.751338+00,2025-10-03 19:37:44.751338+00,2026,2026
320e5859-0442-4485-bcf0-62f6a98a1324,,eb146e45-f9fa-46ba-be95-6ab6d7fd3aa0,45cafda2-2e42-42f6-a935-43dcc695ff7d,Rugby,2026-08-01 15:00:00+00,Home,holding,,,2025-10-03 19:07:23.829448+00,2025-10-03 19:07:23.829448+00,2026,2026
3223c0eb-a437-41c9-8e12-4eac8a0658f1,,e2d6c46f-7bd7-43fd-b8ce-439bdc757e03,7ef26737-6f4c-440d-87e2-b0205d8d06ba,Rugby,2026-04-27 15:00:00+00,ABSA Wildeklawer,holding,,,2025-10-03 19:26:05.989993+00,2025-10-03 19:26:05.989993+00,2026,2026
32475303-b470-4718-9f58-ad34a1c5bab9,,79f8c589-1cd2-4ca6-bfa2-2c163d9e5075,d9adb2b2-3d7f-4b83-bbad-fa90a5bb301d,Rugby,2026-03-30 15:00:00+00,NMI Toyota Noord-Suid,holding,,,2025-10-03 18:43:18.204014+00,2025-10-03 18:43:18.204014+00,2026,2026
324e6ed2-4504-40e8-8877-250d1c02dc0e,,45cafda2-2e42-42f6-a935-43dcc695ff7d,53858f60-b64d-411f-a32d-8f8aa83138d3,Rugby,2026-05-09 15:00:00+00,Home,holding,,,2025-10-03 19:11:15.111509+00,2025-10-03 19:11:15.111509+00,2026,2026
3261ec54-6611-42bf-bb70-1d90cced2dfb,,d9adb2b2-3d7f-4b83-bbad-fa90a5bb301d,5870adc0-3db7-4d51-8621-bc60cf193f4d,Rugby,2026-03-27 15:00:00+00,NMI Toyota Noord-Suid,holding,,,2025-10-03 19:30:42.064714+00,2025-10-03 19:30:42.064714+00,2026,2026
336b1c3f-0fbe-4db5-916c-e3faeeb5b6d3,,79f8c589-1cd2-4ca6-bfa2-2c163d9e5075,f69f787a-97e0-407d-9ace-da93ea3fd252,Rugby,2026-05-30 15:00:00+00,Paul Roos,holding,,,2025-10-02 19:30:19.503689+00,2025-10-02 19:30:19.503689+00,2026,2026
33bf1639-503a-4978-89b3-375d954b7544,,79f8c589-1cd2-4ca6-bfa2-2c163d9e5075,e2d6c46f-7bd7-43fd-b8ce-439bdc757e03,Rugby,2026-03-21 15:00:00+00,Paul Roos,holding,,,2025-10-02 19:30:18.650907+00,2025-10-02 19:30:18.650907+00,2026,2026
340c0853-3981-4896-91c2-7eb6083a7702,,9a2eed67-2537-4c8b-bbfb-ef5bf90be6f5,0d264e25-a997-4cc9-b37a-ba14cde93037,Rugby,2026-06-20 15:00:00+00,Home,holding,,,2025-10-03 19:44:46.239694+00,2025-10-03 19:44:46.239694+00,2026,2026
342d4389-e0ab-46dc-9a83-ee473f2fbe56,,a6113365-768f-440d-8275-8bcfa4250ea4,760cbea9-8a2c-4010-adcf-9623904a344b,Rugby,2026-04-18 15:00:00+00,Home,holding,,,2025-10-03 19:20:48.105326+00,2025-10-03 19:20:48.105326+00,2026,2026
348ada8d-a9da-4529-96c0-17b6c01307e1,,915f9c3c-99ac-4b70-bd13-99d382516ecd,1ec5e7bc-8d20-4f56-808d-6eef53ad2452,Rugby,2026-05-02 15:00:00+00,Away,holding,,,2025-10-03 18:51:09.594907+00,2025-10-03 18:51:09.594907+00,2026,2026
34b2d48b-d70b-4ce1-8bff-b4093f6ac13a,,b31eedf8-327b-4973-9726-a67cf3f0c8a6,54344aa7-eddb-40f9-a37d-104fa6be357f,Rugby,2026-05-16 15:00:00+00,Home,holding,,,2025-10-03 19:22:30.610098+00,2025-10-03 19:22:30.610098+00,2026,2026
35019346-3b67-429e-91c5-b30b2a6d5b64,,79f8c589-1cd2-4ca6-bfa2-2c163d9e5075,d3488346-c50a-4103-852f-cacf896b3c2d,Rugby,2026-05-09 15:00:00+00,Away,holding,,,2025-10-02 19:30:19.28708+00,2025-10-02 19:30:19.28708+00,2026,2026
351d0a4a-e3de-45fe-8ca0-41cc4f59131e,,cd0f5b91-783a-42ed-bff8-36b77d857e1d,33f9ee28-36b0-48b9-beb8-f350a9dbae56,Rugby,2026-07-25 15:00:00+00,Home,holding,,,2025-10-03 19:32:29.934402+00,2025-10-03 19:32:29.934402+00,2026,2026
3580a99a-89c7-432a-b680-0034b68e336c,,915f9c3c-99ac-4b70-bd13-99d382516ecd,79d46f95-2207-46d1-ae74-d8a4d5b6822a,Rugby,2026-04-11 15:00:00+00,Home,holding,,,2025-10-03 18:51:09.499898+00,2025-10-03 18:51:09.499898+00,2026,2026
3594b236-e2ff-4fc8-afee-0a0e1361d3cb,,7602ee11-298f-4a70-9fab-30eaf43e5e5f,e2d6c46f-7bd7-43fd-b8ce-439bdc757e03,Rugby,2026-05-09 15:00:00+00,Away,holding,,,2025-10-03 19:27:39.346209+00,2025-10-03 19:27:39.346209+00,2026,2026
35f04266-b6d7-4dd7-b0f9-9923e4eb3620,,915f9c3c-99ac-4b70-bd13-99d382516ecd,f69f787a-97e0-407d-9ace-da93ea3fd252,Rugby,2026-05-09 15:00:00+00,Home,holding,,,2025-10-03 18:51:09.645703+00,2025-10-03 18:51:09.645703+00,2026,2026
